Group,Genus,Species,Paper,Authors,Journal,Peer_reviewed,Year,Link,Sex,Experiment_location,Stimulus,Frequency_range,Tool_Mechanical_vib,Electrode_type,Recording_site,Mechanical_State,Electrical_tuning_fq,Electrical.Tuning.Frequency..Hz.,CAP50,Age,Mating_status,Experimental_time,Temperature,Temp_data
Ae. aegypti,Aedes,aegypti,Sex and species specific hearing mechanisms in mosquito flagellar ears,Su M.P.; Andrés M.; Boyd-Gibbins N.; Somers J.; Albert J.T.,Nature Communications,Y,2018,https://doi.org/10.1038/s41467-018-06388-7,Male,Lab,Force step,,LDV,Tungsten,Antennal_nerve_bundle,Active quiescent,,,180,3_8,Virgin,,22,Y
Ae. aegypti,Aedes,aegypti,Sex and species specific hearing mechanisms in mosquito flagellar ears,Su M.P.; Andrés M.; Boyd-Gibbins N.; Somers J.; Albert J.T.,Nature Communications,Y,2018,https://doi.org/10.1038/s41467-018-06388-7,Female,Lab,Force step,,LDV,Tungsten,Antennal_nerve_bundle,Active quiescent,,,1079,3_8,Virgin,,22,Y
Ae. aegypti,Aedes,aegypti,Hitting the right note at the right time: Circadian control of audibility in Anopheles mosquito mating swarms is mediated by flight tones,"Somers, J.; Georgiades, M.; Su, M.P.; Bagi, J.; Andrés, M.; Alampounti, A.; Mills, G.; Ntabaliba, W.; Moore, S.J.; Spaccapelo, R.; Albert, J.T.;",Science Advances,Y,2022,https://doi.org/10.1126/sciadv.abl4844,Male,Lab,Sweep,15-695 Hz (10 Hz),LDV,Tungsten,Antennal_nerve_bundle,Active quiescent,245 (median) +/- 10.6 (SE),185,,4_8,Virgin,,22,Y
Ae. aegypti,Aedes,aegypti,The Long and Short of Hearing in the Mosquito Aedes aegypti,Menda G.; Nitzany E.I.; Shamble P.S.; Wells A.; Harrington L.C.; Miles R.N.; Hoy R.R.,Current Biology,Y,2019,https://doi.org/10.1016/j.cub.2019.01.026,Male,Lab,Sweep,50-2050 Hz (100 Hz),LDV,Tungsten,Antennal_nerve_bundle,Active quiescent,200-400,300,,4_10,Virgin,,0,N
Ae. aegypti,Aedes,aegypti,Chordotonal organ mechanosensory pathways as potential targets for the control of mosquito borne diseases,Su M.P.,Thesis,N,2017,https://discovery.ucl.ac.uk/id/eprint/1542425/,Female,Lab,Sweep,15-695 Hz (10 Hz),,Tungsten,Antennal_nerve_bundle,Active quiescent,175 (median) +/- 6.66,175,,,Virgin,,22,Y
Ae. aegypti,Aedes,aegypti,Differences in male Aedes aegypti and Aedes albopictus hearing systems facilitate recognition of conspecific female flight tones,Loh Y.M.; Xu Y.Y.J.; Lee T.T.; Ohashi T.S.; Zhang Y.D.; Eberl D.F.; Su M.P.;Kamikouchi A.,iScience,Y,2024,https://doi.org/10.1016/j.isci.2024.110264,Male,Lab,Sweep,1-1000,LDV,Tungsten,Antennal_nerve_bundle,Active quiescent,389.0 +/- 22.6 (mean +/- SD),389,,,Virgin,ZT12-14,28,Y
Ae. albopictus,Aedes,albopictus,Differences in male Aedes aegypti and Aedes albopictus hearing systems facilitate recognition of conspecific female flight tones,Loh Y.M.; Xu Y.Y.J.; Lee T.T.; Ohashi T.S.; Zhang Y.D.; Eberl D.F.; Su M.P.;Kamikouchi A.,iScience,Y,2024,https://doi.org/10.1016/j.isci.2024.110264,Male,Lab,Sweep,1-1000,LDV,Tungsten,Antennal_nerve_bundle,Active quiescent,379.5 +/- 32.3 (mean +/- SD),380,,,Virgin,ZT12-14,28,Y
Ae. communis,Aedes,communis,"Frequency tuning of swarming male mosquitoes (Aedes communis, Culicidae) and its neural mechanisms",Lapshin D.N.; Vorontsov D.D.,Journal of Insect Physiology,Y,2021,https://doi.org/10.1016/j.jinsphys.2021.104233,Male,Lab,Sweep,140-350,,Borosilicate glass microelectrode,Antennal_nerve_bundle,Active quiescent,175-350,262.5,,,Virgin,,12,Y
Ae. communis,Aedes,communis,[Frequency characteristics of the flight sounds and of Johnson's organs in sympatric mosquitoes of the genus Aedes (Culicidae)].,Tamarina N.A.; Zhantiev R.D.; Fedorova M.V.,Parazitologiia,Y,1980,https://pubmed.ncbi.nlm.nih.gov/7422349/,Male,Lab,Sweep,80-450,,Tungsten,Antennal_nerve_bundle,Active quiescent,310,310,,,Virgin,,24,Y
Ae. diantaeus,Aedes,diantaeus,[Frequency characteristics of the flight sounds and of Johnson's organs in sympatric mosquitoes of the genus Aedes (Culicidae)].,Tamarina N.A.; Zhantiev R.D.; Fedorova M.V.,Parazitologiia,Y,1980,https://pubmed.ncbi.nlm.nih.gov/7422349/,Male,Lab,Sweep,80-450,,Tungsten,Antennal_nerve_bundle,Active quiescent,280,280,,,Virgin,,24,Y
Ae. diantaeus,Aedes,diantaeus,[Frequency characteristics of the flight sounds and of Johnson's organs in sympatric mosquitoes of the genus Aedes (Culicidae)].,Tamarina N.A.; Zhantiev R.D.; Fedorova M.V.,Parazitologiia,Y,1980,https://pubmed.ncbi.nlm.nih.gov/7422349/,Male,Lab,Sweep,80-450,,Tungsten,Antennal_nerve_bundle,Active quiescent,345,345,,,Virgin,,28,Y
Ae. diantaeus,Aedes,diantaeus,[Frequency characteristics of the flight sounds and of Johnson's organs in sympatric mosquitoes of the genus Aedes (Culicidae)].,Tamarina N.A.; Zhantiev R.D.; Fedorova M.V.,Parazitologiia,Y,1980,https://pubmed.ncbi.nlm.nih.gov/7422349/,Male,Lab,Sweep,80-450,,Tungsten,Antennal_nerve_bundle,Active quiescent,410,410,,,Virgin,,32,Y
Ae. excrucians,Aedes,excrucians,"Frequency tuning of individual auditory receptors in female mosquitoes (Diptera, Culicidae)",Lapshin D.N.; Vorontsov D.D.,Journal of Insect Physiology,Y,2013,https://doi.org/10.1016/j.jinsphys.2013.05.010,Female,Lab,Sweep,20-400,,Borosilicate glass microelectrode,Antennal_nerve_bundle,Active quiescent,120,120,,,Virgin,,20,Y
Ae. excrucians,Aedes,excrucians,"Functions of the Auditory System of Female Mosquitoes (Diptera, Culicidae)",Lapshin D.N.; Vorontsov D.D.,Entomological Review,Y,2023,https://doi.org/10.1134/S0013873823030016,Female,Lab,Sweep,40-300,,Borosilicate glass microelectrode,Antennal_nerve_bundle,Active quiescent,105,105,,,Virgin,,20,Y
Ae. excrucians,Aedes,excrucians,"Functions of the Auditory System of Female Mosquitoes (Diptera, Culicidae)",Lapshin D.N.; Vorontsov D.D.,Entomological Review,Y,2023,https://doi.org/10.1134/S0013873823030016,Female,Lab,Sweep,40-300,,Borosilicate glass microelectrode,Auditory_interneuron,Active quiescent,82.5,82.5,,,Virgin,,20,Y
